Currency,Description,Currency_Time,Course_Level,Int_Fees,University,City,Faculty,Career_Outcomes,Int_Description,Duration,Part_Time,Website,Level_Code,Blended,Course,Offline,Course_Lang,Online,Full_Time,Duration_Time,Local_Fees,Study_Type,Mode_of_Study,Study_Mode,Distance,Availability,Online_Only
AUD,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the  Guidelines on the Preparation and Presentation of a Research or Professional Doctoral Thesis for Examination.",Years,Doctor,25736,Australian Catholic University,Ballarat,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,3,Yes,https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the  Guidelines on the Preparation and Presentation of a Research or Professional Doctoral Thesis for Examination.",Years,Doctor,25736,Australian Catholic University,Brisbane,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,3,Yes,https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the  Guidelines on the Preparation and Presentation of a Research or Professional Doctoral Thesis for Examination.",Years,Doctor,25736,Australian Catholic University,Canberra,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,3,Yes,https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the  Guidelines on the Preparation and Presentation of a Research or Professional Doctoral Thesis for Examination.",Years,Doctor,25736,Australian Catholic University,Melbourne,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,3,Yes,https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the  Guidelines on the Preparation and Presentation of a Research or Professional Doctoral Thesis for Examination.",Years,Doctor,25736,Australian Catholic University,New South Wales,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,3,Yes,https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the  Guidelines on the Preparation and Presentation of a Research or Professional Doctoral Thesis for Examination.",Years,Doctor,25736,Australian Catholic University,North Sydney,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,3,Yes,https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",Years,Doctor,25736,Australian Catholic University,Ballarat,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",2,Yes,https://courses.acu.edu.au/research/master_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",Years,Doctor,25736,Australian Catholic University,Brisbane,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",2,Yes,https://courses.acu.edu.au/research/master_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",Years,Doctor,25736,Australian Catholic University,Canberra,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",2,Yes,https://courses.acu.edu.au/research/master_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",Years,Doctor,25736,Australian Catholic University,Melbourne,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",2,Yes,https://courses.acu.edu.au/research/master_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",Years,Doctor,25736,Australian Catholic University,New South Wales,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",2,Yes,https://courses.acu.edu.au/research/master_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",Years,Doctor,25736,Australian Catholic University,North Sydney,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",2,Yes,https://courses.acu.edu.au/research/master_of_philosophy,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Years,,Online,Full Time / Part Time,2,Blended,A,No
AUD,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,Years,Doctor,25736,Australian Catholic University,Ballarat,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,1,Yes,https://courses.acu.edu.au/research/master_of_theology_research,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Year,,Offline,Full Time / Part Time,1,Blended,A,No
AUD,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,Years,Doctor,25736,Australian Catholic University,Brisbane,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,1,Yes,https://courses.acu.edu.au/research/master_of_theology_research,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Year,,Offline,Full Time / Part Time,1,Blended,A,No
AUD,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,Years,Doctor,25736,Australian Catholic University,Canberra,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,1,Yes,https://courses.acu.edu.au/research/master_of_theology_research,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Year,,Offline,Full Time / Part Time,1,Blended,A,No
AUD,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,Years,Doctor,25736,Australian Catholic University,Melbourne,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,1,Yes,https://courses.acu.edu.au/research/master_of_theology_research,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Year,,Offline,Full Time / Part Time,1,Blended,A,No
AUD,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area. Graduates will be able to demonstrate:,Years,Doctor,25736,Australian Catholic University,New South Wales,Education,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,The Master of Theology (Research) is a higher degree by research that can be undertaken either by thesis or by coursework and thesis. It provides students with substantial background in Theology and preliminary research training with the opportunity to undertake a major piece of theological research in a specialised area.Graduates will be able to demonstrate:,1,Yes,https://courses.acu.edu.au/research/master_of_theology_research,DPG,,Doctor of Education (EdD),Yes,English,Yes,Yes,Year,,Offline,Full Time / Part Time,1,Blended,A,No
